marca,modelo,ano,motorizacao,tipo_combustivel,cor,quilometragem,numero_de_portas,transmissao,categoria,km_por_litro,preco,descricao
Volkswagen,Nivus,2007,2.8 4 cilindros Diesel,Híbrido,Azul,88509,2,Automatizada,Sedan,18.7,335593.85,Espaçoso e confortável para famílias.
Renault,Duster,2013,1.3 4 cilindros Flex,Flex,Azul,308894,2,Automática,Picape,14.6,347655.8,Ótimo desempenho e conforto para viagens.
Volkswagen,Amarok,2013,2.0 4 cilindros Gasolina,Híbrido,Vermelho,378814,4,Manual,Picape,18.7,269712.54,Modelo confiável e muito popular no Brasil.
Fiat,Strada,2011,2.8 4 cilindros Diesel,Híbrido,Branco,81291,2,Automatizada,Sedan,20.7,30287.12,Carro econômico ideal para cidade.
Volkswagen,Gol,2015,Motor elétrico,Elétrico,Cinza,83807,4,Automatizada,Sedan,10.0,212300.76,Modelo confiável e muito popular no Brasil.
Volkswagen,Amarok,2017,2.0 4 cilindros Gasolina,Gasolina,Azul,148135,4,Automatizada,SUV,18.0,310113.54,Espaçoso e confortável para famílias.
Nissan,March,2010,2.0 4 cilindros Gasolina,Gasolina,Branco,310185,2,Automática,Sedan,19.3,305835.34,Espaçoso e confortável para famílias.
Honda,City,2006,1.3 4 cilindros Flex,Gasolina,Branco,114025,2,CVT,Picape,20.9,62932.26,Design moderno com boa tecnologia embarcada.
Toyota,SW4,2017,1.3 4 cilindros Flex,Diesel,Branco,458288,4,CVT,Hatch,14.5,41853.44,Carro econômico ideal para cidade.
Honda,Civic,2012,2.8 4 cilindros Diesel,Diesel,Preto,215055,4,CVT,Passeio,16.5,262122.81,Ótimo desempenho e conforto para viagens.
Toyota,Corolla Cross,2009,1.0 3 cilindros Otto,Flex,Cinza,304047,4,Manual,SUV,18.3,243799.55,Modelo confiável e muito popular no Brasil.
Hyundai,Tucson,2010,1.3 4 cilindros Flex,Híbrido,Azul,89361,4,Automática,Sedan,13.6,319522.89,Design moderno com boa tecnologia embarcada.
Hyundai,Santa Fe,2016,Motor elétrico,Elétrico,Prata,215136,4,Automática,Picape,20.3,189114.12,Carro econômico ideal para cidade.
Nissan,Sentra,2006,2.0 4 cilindros Gasolina,Flex,Preto,109883,4,CVT,Sedan,9.9,119730.55,Modelo confiável e muito popular no Brasil.
Jeep,Commander,2021,2.0 4 cilindros Gasolina,Híbrido,Prata,136513,2,Automática,Hatch,15.6,317398.33,Ótimo desempenho e conforto para viagens.
Renault,Oroch,2025,1.6 4 cilindros Flex,Gasolina,Prata,165583,2,Automatizada,Passeio,12.8,237985.69,Modelo confiável e muito popular no Brasil.
Nissan,March,2011,1.6 4 cilindros Flex,Flex,Cinza,52168,4,Manual,Hatch,17.8,106919.89,Design moderno com boa tecnologia embarcada.
Nissan,Kicks,2012,Motor elétrico,Elétrico,Azul,168640,2,Automática,SUV,12.9,118091.12,Design moderno com boa tecnologia embarcada.
Nissan,Versa,2006,1.3 4 cilindros Flex,Gasolina,Branco,175774,4,Manual,Passeio,12.1,139865.68,Modelo confiável e muito popular no Brasil.
Volkswagen,Nivus,2013,1.3 4 cilindros Flex,Gasolina,Cinza,310585,4,Manual,SUV,15.5,232282.1,Ótimo desempenho e conforto para viagens.
Fiat,Pulse,2005,2.8 4 cilindros Diesel,Diesel,Azul,298566,4,Automatizada,Hatch,22.0,137097.62,Ótimo desempenho e conforto para viagens.
Hyundai,Creta,2013,1.3 4 cilindros Flex,Diesel,Cinza,54216,4,Automatizada,Hatch,9.1,345762.17,Espaçoso e confortável para famílias.
Nissan,Kicks,2007,2.8 4 cilindros Diesel,Flex,Verde,299334,2,Manual,SUV,12.2,36841.1,Carro econômico ideal para cidade.
Chevrolet,Tracker,2011,Motor elétrico,Elétrico,Preto,378519,2,Automatizada,Sedan,13.8,121746.13,Carro econômico ideal para cidade.
BYD,Yuan Plus,2019,1.0 3 cilindros Otto,Gasolina,Prata,25815,2,Manual,Passeio,17.7,284531.03,Carro econômico ideal para cidade.
Nissan,Kicks,2008,2.0 4 cilindros Gasolina,Híbrido,Preto,415745,2,Manual,Passeio,13.5,127288.46,Carro econômico ideal para cidade.
Chevrolet,Onix,2021,1.3 4 cilindros Flex,Flex,Vermelho,0,2,Automatizada,Picape,13.6,160173.74,Modelo confiável e muito popular no Brasil.
Chevrolet,Onix Plus,2021,1.0 3 cilindros Otto,Diesel,Verde,422437,2,Automatizada,Hatch,8.6,82017.8,Carro econômico ideal para cidade.
Honda,WR-V,2015,Motor elétrico,Elétrico,Prata,283850,2,Automatizada,Passeio,14.6,332583.71,Carro econômico ideal para cidade.
Chevrolet,Onix Plus,2006,1.3 4 cilindros Flex,Gasolina,Preto,254583,4,CVT,Passeio,21.9,143351.44,Design moderno com boa tecnologia embarcada.
Fiat,Pulse,2019,1.0 3 cilindros Otto,Híbrido,Azul,0,4,Automática,SUV,9.9,306896.36,Ótimo desempenho e conforto para viagens.
Chevrolet,Spin,2008,1.6 4 cilindros Flex,Híbrido,Preto,293023,2,Automatizada,Sedan,12.7,155771.03,Design moderno com boa tecnologia embarcada.
Honda,City,2006,1.0 3 cilindros Otto,Flex,Azul,239373,2,CVT,Sedan,21.6,207823.93,Carro econômico ideal para cidade.
Fiat,Pulse,2010,2.0 4 cilindros Gasolina,Diesel,Prata,36057,2,CVT,Sedan,10.8,134780.63,Espaçoso e confortável para famílias.
BYD,Seal,2015,1.3 4 cilindros Flex,Flex,Prata,316163,4,Manual,SUV,17.4,74048.9,Carro econômico ideal para cidade.
Volkswagen,T-Cross,2022,1.6 4 cilindros Flex,Gasolina,Vermelho,0,2,Automatizada,SUV,17.1,31678.19,Ótimo desempenho e conforto para viagens.
BYD,Yuan Plus,2024,2.0 4 cilindros Gasolina,Híbrido,Cinza,217242,4,Automatizada,Picape,8.2,45122.22,Espaçoso e confortável para famílias.
Jeep,Compass,2008,1.0 3 cilindros Otto,Híbrido,Azul,115131,4,CVT,Picape,18.2,335409.42,Carro econômico ideal para cidade.
Volkswagen,Polo,2017,Motor elétrico,Elétrico,Cinza,455498,2,CVT,SUV,16.5,271901.68,Ótimo desempenho e conforto para viagens.
Renault,Duster,2022,1.0 3 cilindros Otto,Híbrido,Cinza,319780,2,CVT,Sedan,17.5,306490.75,Carro econômico ideal para cidade.
Nissan,Versa,2010,Motor elétrico,Elétrico,Branco,91936,2,Manual,Picape,19.6,171111.74,Ótimo desempenho e conforto para viagens.
Chevrolet,Onix Plus,2016,1.0 3 cilindros Otto,Gasolina,Preto,13308,4,Manual,Picape,16.0,120981.98,Espaçoso e confortável para famílias.
BYD,Seal,2011,Motor elétrico,Elétrico,Azul,237087,2,Automatizada,Picape,17.0,158366.51,Carro econômico ideal para cidade.
Fiat,Pulse,2022,Motor elétrico,Elétrico,Branco,0,4,CVT,Picape,17.4,28206.6,Carro econômico ideal para cidade.
Honda,HR-V,2008,1.0 3 cilindros Otto,Gasolina,Preto,239986,2,Automatizada,SUV,17.5,116476.41,Espaçoso e confortável para famílias.
Jeep,Commander,2025,1.6 4 cilindros Flex,Diesel,Azul,0,4,Automática,Picape,17.9,139815.73,Design moderno com boa tecnologia embarcada.
Renault,Duster,2009,2.8 4 cilindros Diesel,Flex,Branco,476332,4,Automatizada,Passeio,21.3,64578.85,Ótimo desempenho e conforto para viagens.
Jeep,Commander,2021,Motor elétrico,Elétrico,Vermelho,0,2,CVT,Sedan,11.0,130331.04,Espaçoso e confortável para famílias.
BYD,Dolphin,2005,Motor elétrico,Elétrico,Verde,470322,4,CVT,Hatch,11.0,170294.16,Ótimo desempenho e conforto para viagens.
Nissan,March,2017,2.0 4 cilindros Gasolina,Flex,Branco,138715,4,CVT,Picape,21.9,108861.8,Modelo confiável e muito popular no Brasil.
BYD,Song Plus,2013,Motor elétrico,Elétrico,Verde,89685,4,Manual,SUV,15.5,187259.89,Espaçoso e confortável para famílias.
Toyota,Corolla Cross,2017,1.0 3 cilindros Otto,Flex,Preto,63324,2,CVT,Hatch,21.2,180194.08,Espaçoso e confortável para famílias.
Fiat,Strada,2008,1.3 4 cilindros Flex,Híbrido,Branco,121450,2,Manual,SUV,13.6,313864.69,Boa relação custo-benefício.
Hyundai,Santa Fe,2009,1.3 4 cilindros Flex,Flex,Prata,207551,4,Automatizada,Passeio,10.0,115105.9,Ótimo desempenho e conforto para viagens.
Nissan,Sentra,2024,1.6 4 cilindros Flex,Flex,Vermelho,0,2,CVT,SUV,21.1,51435.08,Carro econômico ideal para cidade.
Hyundai,HB20,2010,1.0 3 cilindros Otto,Híbrido,Vermelho,225228,4,Manual,Hatch,9.4,222339.39,Boa relação custo-benefício.
BYD,Seal,2024,1.3 4 cilindros Flex,Híbrido,Verde,168657,4,Automática,Sedan,16.0,98975.14,Carro econômico ideal para cidade.
Nissan,Frontier,2020,2.8 4 cilindros Diesel,Diesel,Cinza,236420,4,Manual,Picape,15.6,94829.02,Carro econômico ideal para cidade.
Jeep,Gladiator,2009,2.0 4 cilindros Gasolina,Híbrido,Azul,365174,4,CVT,Picape,15.9,156410.2,Design moderno com boa tecnologia embarcada.
Chevrolet,Onix Plus,2019,1.6 4 cilindros Flex,Gasolina,Prata,70428,2,Automática,Picape,20.6,349959.67,Ótimo desempenho e conforto para viagens.
Chevrolet,Spin,2012,1.0 3 cilindros Otto,Flex,Branco,385184,4,CVT,SUV,19.5,201739.27,Modelo confiável e muito popular no Brasil.
Volkswagen,Polo,2017,1.0 3 cilindros Otto,Híbrido,Branco,197188,4,Automatizada,Passeio,17.4,329671.17,Carro econômico ideal para cidade.
BYD,Yuan Plus,2008,1.6 4 cilindros Flex,Diesel,Prata,132410,2,Automática,Passeio,19.1,58787.32,Design moderno com boa tecnologia embarcada.
Honda,HR-V,2015,2.0 4 cilindros Gasolina,Diesel,Cinza,301481,2,Manual,Passeio,19.6,345003.62,Espaçoso e confortável para famílias.
Renault,Duster,2018,1.6 4 cilindros Flex,Flex,Azul,0,4,Manual,Picape,17.1,166536.15,Modelo confiável e muito popular no Brasil.
Jeep,Compass,2008,1.0 3 cilindros Otto,Diesel,Prata,399679,2,CVT,SUV,17.4,108919.76,Ótimo desempenho e conforto para viagens.
Hyundai,Tucson,2008,Motor elétrico,Elétrico,Cinza,96070,2,CVT,Picape,19.5,101921.02,Carro econômico ideal para cidade.
Fiat,Toro,2022,2.8 4 cilindros Diesel,Híbrido,Prata,402398,2,Automatizada,Passeio,20.0,257988.97,Modelo confiável e muito popular no Brasil.
Nissan,Kicks,2022,2.8 4 cilindros Diesel,Diesel,Cinza,308920,4,Manual,Hatch,17.0,226287.11,Ótimo desempenho e conforto para viagens.
Volkswagen,Nivus,2017,2.0 4 cilindros Gasolina,Flex,Cinza,460143,2,Automática,Hatch,16.1,175164.78,Espaçoso e confortável para famílias.
Volkswagen,Amarok,2023,1.6 4 cilindros Flex,Diesel,Preto,0,4,Automatizada,Picape,12.0,194608.83,Carro econômico ideal para cidade.
BYD,Seal,2021,1.0 3 cilindros Otto,Híbrido,Branco,0,2,Automatizada,Sedan,18.2,26598.15,Espaçoso e confortável para famílias.
Nissan,Sentra,2009,Motor elétrico,Elétrico,Prata,0,2,Manual,Picape,17.2,216582.94,Boa relação custo-benefício.
Renault,Sandero,2008,1.0 3 cilindros Otto,Diesel,Cinza,121808,4,Automática,Sedan,19.3,276158.26,Boa relação custo-benefício.
Jeep,Compass,2010,1.6 4 cilindros Flex,Diesel,Cinza,175707,2,Manual,Sedan,11.6,86105.4,Modelo confiável e muito popular no Brasil.
Toyota,Corolla,2016,Motor elétrico,Elétrico,Branco,373737,4,Automática,Hatch,9.9,157137.29,Design moderno com boa tecnologia embarcada.
Chevrolet,Onix,2005,Motor elétrico,Elétrico,Branco,384627,4,Automatizada,Passeio,19.3,303765.36,Espaçoso e confortável para famílias.
Fiat,Argo,2009,2.8 4 cilindros Diesel,Flex,Cinza,170670,4,CVT,SUV,11.5,196132.55,Carro econômico ideal para cidade.
Fiat,Pulse,2011,2.8 4 cilindros Diesel,Diesel,Prata,493239,2,Manual,Passeio,16.0,261653.57,Modelo confiável e muito popular no Brasil.
Toyota,Corolla Cross,2014,2.0 4 cilindros Gasolina,Híbrido,Verde,357646,4,CVT,Picape,11.9,29127.64,Modelo confiável e muito popular no Brasil.
Jeep,Commander,2006,1.6 4 cilindros Flex,Híbrido,Verde,424520,2,Manual,Sedan,21.4,181562.55,Espaçoso e confortável para famílias.
Toyota,Hilux,2010,1.0 3 cilindros Otto,Gasolina,Cinza,376178,4,Automática,Passeio,16.8,261134.52,Boa relação custo-benefício.
Nissan,Sentra,2008,1.3 4 cilindros Flex,Flex,Branco,380224,2,Manual,Picape,12.6,126440.77,Design moderno com boa tecnologia embarcada.
Chevrolet,Onix,2009,Motor elétrico,Elétrico,Vermelho,111767,2,Manual,Sedan,8.3,53762.42,Design moderno com boa tecnologia embarcada.
Jeep,Gladiator,2021,1.0 3 cilindros Otto,Diesel,Azul,0,2,Automatizada,Picape,12.1,286369.28,Modelo confiável e muito popular no Brasil.
Chevrolet,S10,2024,2.0 4 cilindros Gasolina,Gasolina,Prata,220146,4,Automatizada,Passeio,16.2,181477.01,Carro econômico ideal para cidade.
Volkswagen,Nivus,2025,Motor elétrico,Elétrico,Azul,0,4,CVT,Hatch,12.5,144378.48,Design moderno com boa tecnologia embarcada.
Chevrolet,Cruze,2015,1.6 4 cilindros Flex,Flex,Prata,161498,2,Manual,Passeio,10.9,136172.8,Boa relação custo-benefício.
Toyota,SW4,2014,1.0 3 cilindros Otto,Diesel,Azul,434466,2,Automática,Picape,22.0,163907.21,Modelo confiável e muito popular no Brasil.
Chevrolet,S10,2022,2.8 4 cilindros Diesel,Diesel,Prata,222965,2,Automática,Sedan,18.9,120624.1,Design moderno com boa tecnologia embarcada.
Fiat,Pulse,2009,2.8 4 cilindros Diesel,Gasolina,Azul,317210,2,Automática,Hatch,15.7,218029.04,Carro econômico ideal para cidade.
Honda,City,2023,Motor elétrico,Elétrico,Preto,0,2,Manual,Sedan,15.8,237965.44,Boa relação custo-benefício.
Hyundai,Tucson,2015,1.6 4 cilindros Flex,Gasolina,Cinza,205013,4,CVT,Hatch,21.9,83312.42,Design moderno com boa tecnologia embarcada.
Renault,Sandero,2020,2.8 4 cilindros Diesel,Flex,Verde,291394,4,Automatizada,Passeio,15.8,321376.65,Ótimo desempenho e conforto para viagens.
Nissan,Sentra,2020,2.0 4 cilindros Gasolina,Híbrido,Cinza,182938,2,CVT,Picape,15.6,72701.02,Boa relação custo-benefício.
Fiat,Pulse,2012,2.0 4 cilindros Gasolina,Flex,Azul,196449,4,CVT,Passeio,17.7,324617.68,Espaçoso e confortável para famílias.
Chevrolet,Onix Plus,2011,2.0 4 cilindros Gasolina,Flex,Branco,230630,4,Automatizada,SUV,11.7,256772.58,Boa relação custo-benefício.
Fiat,Toro,2017,Motor elétrico,Elétrico,Verde,213687,2,Manual,Picape,20.5,130827.14,Boa relação custo-benefício.
Jeep,Compass,2010,1.6 4 cilindros Flex,Flex,Cinza,175902,2,Automatizada,Sedan,10.0,308313.16,Modelo confiável e muito popular no Brasil.
